timestamp,temperature,humidity,latitude,longitude,speed_kmph,altitude,satellites,heading,current,battery_voltage,battery_percent
1789009582.569299,30.0,52.0,1.458859,102.149769,0.59,14.0,7,239.0,-0.93,4.13,0.0
1789009583.6021557,30.0,52.0,1.458859,102.149769,0.83,13.6,7,239.0,-0.9,4.13,0.0
1789009584.5745275,30.0,52.0,1.458859,102.149769,0.74,13.2,7,239.0,-0.92,4.13,0.0
1789009585.589468,30.0,52.0,1.458846,102.149774,0.52,12.8,7,239.0,-0.95,4.13,0.0
1789009586.583481,30.0,52.0,1.458846,102.149774,0.39,12.4,7,239.0,-0.9,4.13,0.0
1789009587.5785902,30.0,52.0,1.458846,102.149774,0.3,11.9,7,239.0,-0.89,4.13,0.0
1789009588.6039324,30.0,52.0,1.458834,102.149779,0.39,11.4,7,239.0,-0.9,4.13,0.0
1789009589.58217,30.0,52.0,1.458834,102.149779,0.17,11.0,7,239.0,-0.9,4.13,0.0
1789009590.5978968,30.0,52.0,1.458834,102.149779,0.19,10.5,7,239.0,-1.05,4.12,0.0
1789009591.595649,30.0,52.0,1.458825,102.149784,0.5,9.9,7,239.0,-0.9,4.13,0.0
1789009592.5894117,30.0,52.0,1.458825,102.149784,0.13,9.4,7,239.0,-0.91,4.13,0.0
1789009593.6269455,30.0,52.0,1.458825,102.149784,0.04,8.9,7,239.0,-0.93,4.13,0.0
1789009594.599787,30.0,52.0,1.458825,102.149784,0.19,8.4,7,239.0,-0.91,4.13,0.0
1789009595.5972495,30.0,52.0,1.458825,102.149784,0.07,7.9,7,239.0,-0.89,4.13,0.0
1789009596.601786,30.0,52.0,1.458813,102.149791,0.13,7.6,7,239.0,-0.9,4.13,0.0
1789009597.599033,30.0,52.0,1.458813,102.149791,0.93,7.2,7,239.0,-0.93,4.13,0.0
1789009598.6185308,30.0,52.0,1.458813,102.149791,1.65,6.9,7,239.0,-0.93,4.13,0.0
1789009599.6164906,30.0,52.0,1.458813,102.149791,1.24,6.5,7,239.0,-0.86,4.13,0.0
1789009600.6145575,30.0,52.0,1.458813,102.149791,0.72,6.1,7,239.0,-1.0,4.12,0.0
1789009601.6122367,30.0,52.0,1.458803,102.149795,1.39,5.8,7,239.0,-0.86,4.13,0.0
1789009602.6153185,30.0,52.0,1.458803,102.149795,0.87,5.6,7,239.0,-0.85,4.13,0.0
1789009603.6324217,30.0,52.0,1.458803,102.149795,1.13,5.4,7,239.0,-0.91,4.13,0.0
1789009604.627192,30.0,52.0,1.458803,102.149795,1.17,5.1,7,239.0,-0.87,4.13,0.0
1789009605.6233587,30.0,52.0,1.458803,102.149795,1.22,4.7,7,239.0,-0.87,4.13,0.0
1789009606.6201682,30.0,52.0,1.458789,102.1498,0.72,4.1,7,239.0,-0.87,4.13,0.0
1789009607.616391,30.0,52.0,1.458789,102.1498,0.24,3.5,7,239.0,-0.88,4.13,0.0
1789009608.6537416,30.0,52.0,1.458789,102.1498,0.17,3.2,7,239.0,-0.91,4.13,0.0
1789009609.6317928,30.0,52.0,1.458789,102.1498,0.28,2.7,7,239.0,-0.88,4.13,0.0
1789009610.6245701,30.0,52.0,1.458789,102.1498,0.52,2.2,7,239.0,-0.86,4.13,0.0
1789009611.6332161,30.0,52.0,1.458789,102.1498,0.11,1.8,7,239.0,-0.87,4.13,0.0
1789009612.6261559,30.0,52.0,1.458789,102.1498,0.09,1.4,7,239.0,-0.99,4.12,0.0
1789009613.6423473,30.0,52.0,1.458789,102.1498,0.17,1.1,6,239.0,-0.99,4.13,0.0
1789009614.6366186,30.0,52.0,1.458789,102.1498,0.65,0.9,6,239.0,-0.89,4.13,0.0
1789009615.6307425,30.0,52.0,1.458789,102.1498,0.65,0.8,7,239.0,-0.87,4.13,0.0
1789009616.6243567,30.0,52.0,1.458789,102.1498,1.72,0.7,7,239.0,-0.89,4.13,0.0
1789009617.6388183,30.0,52.0,1.458789,102.1498,0.98,0.6,7,239.0,-0.89,4.13,0.0
1789009618.6542354,30.0,52.0,1.458799,102.149807,0.63,0.4,7,239.0,-0.91,4.13,0.0
1789009619.6465323,30.0,52.0,1.458799,102.149807,0.06,0.3,7,239.0,-0.87,4.13,0.0
1789009620.6423252,30.0,52.0,1.458799,102.149807,0.24,0.2,7,239.0,-0.89,4.13,0.0
1789009621.6358726,30.0,52.0,1.458816,102.149806,0.81,0.1,7,239.1,-0.84,4.13,0.0
1789009622.6509447,30.0,52.0,1.458816,102.149806,0.15,0.1,7,239.1,-0.84,4.13,0.0
1789009623.6660502,30.0,52.0,1.458816,102.149806,0.22,0.1,7,239.1,-0.9,4.13,0.0
1789009624.637965,30.0,52.0,1.458816,102.149806,0.54,0.2,7,239.1,-0.8,4.13,0.0
1789009625.6512074,30.0,52.0,1.458816,102.149806,0.72,0.7,7,239.1,-0.97,4.12,0.0
1789009626.6451123,30.0,52.0,1.458816,102.149806,0.44,0.7,7,239.1,-0.97,4.12,0.0
1789009627.6592278,30.0,52.0,1.458816,102.149806,0.74,0.8,7,239.1,-0.81,4.13,0.0
1789009628.670969,30.0,52.0,1.458816,102.149806,0.59,0.7,7,239.1,-0.88,4.13,0.0
1789009629.6638746,30.0,52.0,1.458816,102.149806,0.54,1.0,7,239.1,-1.11,4.13,0.0
1789009630.656138,30.0,52.0,1.458816,102.149806,0.15,1.2,7,239.1,-1.1,4.13,0.0
1789009631.6491745,30.0,52.0,1.458816,102.149806,0.07,1.5,7,239.1,-1.01,4.13,0.0
1789009632.6612837,30.0,52.0,1.458816,102.149806,0.13,1.6,7,211.1,-1.42,4.1,0.0
1789009633.674523,30.0,52.0,1.458816,102.149806,0.33,2.0,7,190.6,-1.33,4.12,0.0
1789009634.668318,30.0,52.0,1.458826,102.149813,0.78,2.5,7,184.9,-1.29,4.11,0.0
1789009635.6766162,30.0,52.0,1.458826,102.149813,0.56,2.7,7,214.7,-1.09,4.13,0.0
1789009636.6698465,30.0,52.0,1.458844,102.149811,0.52,3.2,7,270.8,-0.98,4.14,0.0
1789009637.6767163,30.0,52.0,1.458844,102.149811,1.13,3.5,7,304.3,-0.47,4.17,0.0
1789009638.6984303,30.0,52.0,1.458844,102.149811,0.89,3.9,7,287.9,-0.46,4.17,0.0
